:START_ID(Article),views
AccessibleComputing,1.0
Anarchism,763.0
AfghanistanHistory,1.0
AfghanistanGeography,0.0
AfghanistanPeople,0.0
AfghanistanEconomy,1.0
AfghanistanCommunications,0.0
AfghanistanTransportations,0.0
AfghanistanMilitary,0.0
AfghanistanTransnationalIssues,0.0
AssistiveTechnology,182.0
AmoeboidTaxa,0.0
Autism,1444.0
AlbaniaHistory,0.0
AlbaniaGeography,0.0
AlbaniaPeople,0.0
AsWeMayThink,41.0
AllSaints,55.0
AlbaniaGovernment,0.0
AlbaniaEconomy,0.0
Albedo,345.0
AfroAsiaticLanguages,1.0
ArtificalLanguages,0.0
AbacuS,0.0
AbalonE,0.0
AbbadideS,0.0
AbbesS,0.0
AbbevilleFrance,1.0
AbbeY,0.0
AbboT,0.0
Abbreviations,9.0
AtlasShrugged,665.0
ArtificialLanguages,5.0
AtlasShruggedCharacters,0.0
AtlasShruggedCompanies,0.0
AyersMusicPublishingCompany,0.0
AfricanAmericanPeople,0.0
AdolfHitler,6491.0
AbeceDarians,0.0
AbeL,0.0
AbensbergGermany,0.0
AberdeenSouthDakota,0.0
ArthurKoestler,172.0
AynRand,1103.0
AlexanderTheGreat,2876.0
AnchorageAlaska,2.0
ArgumentForms,0.0
ArgumentsForTheExistenceOfGod,15.0
AnarchY,0.0
AsciiArt,244.0
AndreAgassi,999.0
AcademyAwards,1476.0
AcademyAwards/BestPicture,0.0
AustriaLanguage,0.0
AcademicElitism,13.0
AxiomOfChoice,112.0
AmericanFootball,976.0
AmericA,0.0
AnnaKournikova,836.0
AndorrA,0.0
AustroAsiaticLanguages,0.0
ActresseS,0.0
A,2316.0
AnarchoCapitalism,2.0
AnarchoCapitalists,0.0
ActressesS,0.0
AnAmericanInParis,61.0
AutoMorphism,0.0
ActionFilm,293.0
Alabama,943.0
AfricA,0.0
Achilles,939.0
AppliedStatistics,9.0
Abraham Lincoln,3547.0
Aristotle,2510.0
An American in Paris,61.0
Academy Award for Best Art Direction,28.0
Academy Awards/Music Original Song,0.0
Academy Award,754.0
Action Film,293.0
Actrius,11.0
Animalia (book),2.0
Asymmetric Algorithms,2.0
International Atomic Time,89.0
Altruism,437.0
AutoRacing,383.0
Ayn Rand,1103.0
Alain Connes,29.0
Allan Dwan,30.0
Algeria/Background,0.0
Algeria/People,0.0
Algeria/Transnational Issues,0.0
Algeria,1746.0
List of characters in Atlas Shrugged,3.0
Topics of note in Atlas Shrugged,0.0
Anthropology,1549.0
Agricultural science,162.0
Alchemy,919.0
Air Transport,11.0
As suda',0.0
Avalon Entertainment Limited,0.0
"Church of the Holy Mother of God, Aleppo",0.0
Parracombe Locomotive,0.0
Ash sha`bah,1.0
Giulio Chazalettes,1.0
"Ash sharaf, Abyan",0.0
Avalon Management,0.0
"Ash sharqiyah, Abyan",0.0
At tariyah,1.0
Avalon Promotions,0.0
Ath thalib,0.0
Katherine M. Watson,1.0
Hawthorns railway station,0.0
`Ali hadi,0.0
Avalon Public Relations,0.0
James Algernon Stevens,0.0
YES Congress 2009,0.0
`Arqub umm kubayr,0.0
Super Sailor Moon,0.0
Katherine Watson,0.0
Avalon Television,1.0
Ba tays,0.0
Ba zulayfah,0.0
Hawthorns station,0.0
Bayt samnah,0.0
Liberty Bell Productions,0.0
Jawf umm maqbabah,0.0
Hale Commission,5.0
Jiblat al faraj,1.0
Tinderbox Television,0.0
List of regional airlines,47.0
Jiblat al waznah,0.0
Jiblat badr,1.0
Avalon Distribution,0.0
Kadamat al faysh,0.0
A Test of Time,2.0
Kawd al `abadil,1.0
Test of Time (1995 book),0.0
Stargazing (Leon Jackson song),0.0
Kawrat halimah,1.0
Khabt al aslum,0.0
Dois I. Rosser Jr.,3.0
Qarn al wadi`,1.0
Aircraft Sales & Parts,0.0
Sedrick Sampson Yudo,0.0
Qaryat ahl hidran,0.0
Torquay station,0.0
Qaryat husayn umm muhammad,0.0
